duration(s),mode(str),current(A),voltage(V),cutoff_current(A),thermal_system_on(str),temperature_setpoint(degC),step_name(str)
15000.0,CHARGE,9,57.2,1,OFF,45.0,C/3_charge_to_57.2V
10000.0,CHARGE,1.8,58.6,0.2,OFF,45.0,1A_charge_to_58.6V
7200.0,CHARGE,0.8,58.8,0.1,OFF,45.0,2hr_rest
15000.0,DISCHARGE,9,47.3,1,OFF,45.0,C/3_discharge_to_47.3V
20000.0,DISCHARGE,0.2,42,0.1,OFF,45.0,1A_discharge_to_42V
20000.0,CHARGE,0.7,36,0.1,OFF,OFF,0.9A_discharge_to_36V
18000.0,CHARGE,0.8,58.8,0.1,OFF,45.0,5hr_rest
