duration(s),mode(str),current(A),voltage(V),cutoff_current(A),step_name(str),heater_voltage(V),heater_current(A),VSYS_state(str)
10.0,REST,,,,10s_rest,,,OFF
3600.0,CHARGE,3.0,21,1.0,3.0A_charge_to_21V,,,OFF
60.0,REST,,,,60s_rest,,,OFF
