step_id(int),next_step(int),parent_step(int),kid_step(int),step_name(str),duration(s),mode(str),current(A),voltage(V),cutoff_current(A),thermal_system_on(str),temperature_setpoint(degC),cutoff_temperature(degC),skip_alarms(str)
1,2,0,0,25A_charge_to_58.8,5000.0,CHARGE,25.0,58.8,0.5,OFF,30.0,30.0,na
2,0,0,0,60s_rest,60.0,REST,,,,OFF,30.0,30.0,na
