step_id(int),next_step(int),parent_step(int),kid_step(int),step_name(str),duration(s),mode(str),current(A),voltage(V),cutoff_current(A),thermal_system_on(str),temperature_setpoint(degC),cutoff_temperature(degC),skip_alarms(str)
1,2,0,0,5A_discharge_to_35V,10000.0,DISCHARGE,5.0,35.0,1.0,OFF,30.0,30.0,"UNSAFE_TO_TAKE_OFF,UNSAFE_TO_CHARGE,MAINTENANCE_REQUIRED,PERMANENT_DAMAGE"
2,0,0,0,60s_rest,60.0,REST,,,,OFF,30.0,30.0,"UNSAFE_TO_TAKE_OFF,UNSAFE_TO_CHARGE,MAINTENANCE_REQUIRED,PERMANENT_DAMAGE"
