duration(s),mode(str),current(A),voltage(V),cutoff_current(A),thermal_system_on(str),temperature_setpoint(degC),step_name(str)
5000.0,CHARGE,27,58.8,0.3,ON,35.0,1C_charge_to_100_percent
600.0,REST,,,,ON,37.0,10min_rest_before_pulse
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_1of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_1of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_2of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_2of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_3of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_3of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_4of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_4of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_5of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_5of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_6of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_6of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_7of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_7of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_8of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_8of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_9of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_9of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_10of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_10of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_11of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_11of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_12of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_12of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_13of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_13of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_14of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_14of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_15of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_15of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_16of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_16of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_17of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_17of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_18of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_18of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_19of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_19of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_20of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_20of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_21of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_21of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_22of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_22of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_23of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_23of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_24of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_24of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_25of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_25of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_26of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_26of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_27of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_27of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_28of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_28of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_29of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_29of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_30of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_30of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_31of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_31of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_32of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_32of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_33of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_33of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_34of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_34of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_35of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_35of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_36of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_36of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_37of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_37of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_38of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_38of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_39of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_39of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_40of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_40of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_41of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_41of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_42of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_42of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_43of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_43of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_44of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_44of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_45of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_45of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_46of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_46of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_47of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_47of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_48of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_48of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_49of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_49of50
48.0,DISCHARGE,13.5,35.0,1.0,ON,35.0,0.5C_pulse_50of50
12.0,DISCHARGE,108,35.0,10,ON,35.0,4C_pulse_50of50
1800.0,REST,,,,ON,35.0,30min_rest_before_recharge
5000.0,CHARGE,27,58.8,0.3,ON,35.0,1C_charge_to_100_percent
1800.0,REST,,,,OFF,35.0,30min_rest_before_slow_discharge
10000,DISCHARGE,13.5,36.0,0.3,OFF,35.0,C/2_discharge_to_0_percent
1800.0,REST,,,,OFF,35.0,30min_rest_before_slow_charge
10000,CHARGE,13.5,58.8,0.3,OFF,35.0,C/2_charge_to_100_percent
1800.0,REST,,,,OFF,35.0,30min_rest_before_final_discharge
3600.0,DISCHARGE,27,50.0,5.0,OFF,35.0,1C_discharge_to_50V
